FLU YEAR,FLU WEEK,INFLUENZA A,INFLUENZA B,UNKNOWN INFLUENZA,WEEKLY TOTAL
2020,1,1402,2345,36,3783
2020,2,1417,2092,58,3567
2020,3,1683,2539,72,4294
2020,4,2395,3489,43,5927
2020,5,3784,5008,97,8889
2020,6,5499,6321,132,11952
2020,7,6211,6374,90,12675
2020,8,6852,6339,74,13265
2020,9,7099,5512,38,12649
2020,10,6391,4184,30,10605
2020,11,3956,2643,21,6620
2020,12,2160,1682,7,3849
2020,13,766,669,2,1437
2020,14,203,196,2,401
2020,15,64,57,0,121
2020,16,24,19,0,43
2020,17,24,14,4,42
2020,18,18,10,0,28
2020,19,8,3,0,11
2020,20,8,17,2,27
2020,40,7,8,0,15
2020,41,8,12,0,20
2020,42,19,19,0,38
2020,43,31,18,2,51
2020,44,17,9,0,26
2020,45,28,30,0,58
2020,46,21,32,0,53
2020,47,12,23,0,35
2019,1,1052,143,6,1207
2019,2,1147,115,9,1271
2019,3,1467,126,17,1610
2019,4,2163,162,14,2339
2019,5,3787,231,24,4042
2019,6,5483,247,43,5773
2019,7,6591,278,57,6926
2019,8,7181,342,44,7567
2019,9,7294,350,62,7706
2019,10,7188,347,58,7593
2019,11,7239,386,65,7690
2019,12,6118,319,40,6477
2019,13,3775,246,32,4053
2019,14,2410,191,21,2622
2019,15,1051,119,4,1174
2019,16,438,66,0,504
2019,17,229,58,2,289
2019,18,122,36,4,162
2019,19,65,19,1,85
2019,20,26,13,1,40
2019,40,47,41,0,88
2019,41,53,52,1,106
2019,42,62,48,2,112
2019,43,66,68,0,134
2019,44,68,70,1,139
2019,45,85,71,1,157
2019,46,97,93,2,192
2019,47,150,163,0,313
2019,48,146,255,1,402
2019,49,243,407,6,656
2019,50,347,798,28,1173
2019,51,603,1682,19,2304
2019,52,1015,1977,33,3025
